data,index_price,equity,margin_required,bid,ask
02/24/2020 04:45:13.592,5398,4998.31,4993.11,1.08201,1.08202
02/24/2020 05:53:38.647,5399,4996.69,4991.49,1.08169,1.08168
02/24/2020 06:33:33.085,5400,4999.53,4993.03,1.082,1.08201
02/24/2020 06:55:40.831,5401,4998.24,4990.44,1.08168,1.08168
02/24/2020 07:01:51.362,5402,4996.38,4991.18,1.08137,1.08137
02/24/2020 07:08:15.214,5403,4997.42,4992.22,1.08106,1.08106
02/24/2020 07:08:18.197,5404,4997.14,4991.94,1.08075,1.08075
02/24/2020 07:09:25.928,5405,5000.06,4993.56,1.08108,1.08107
02/24/2020 07:24:17.136,5406,5001.27,4993.47,1.08139,1.08141
02/24/2020 07:38:41.356,5407,5000,5000.00,1.08174,1.08175
02/24/2020 07:43:25.033,5408,5000.31,4999.01,1.08141,1.08142
02/24/2020 08:00:00.072,5409,5000.31,4997.71,1.08174,1.08173
02/24/2020 08:03:46.297,5410,4999.95,4996.05,1.08206,1.08207
02/24/2020 08:07:56.741,5411,4999.00,4995.10,1.08239,1.08238
02/24/2020 08:10:21.796,5412,4997.68,4992.48,1.08273,1.08271
02/24/2020 08:14:14.151,5413,4999.28,4992.78,1.08238,1.08239
02/24/2020 08:18:38.731,5414,4997.99,4990.19,1.08271,1.08271
02/24/2020 08:20:00.400,5415,4999.85,4992.05,1.0824,1.0824
02/24/2020 08:22:42.301,5416,4998.30,4989.20,1.08271,1.08271
02/24/2020 08:23:09.918,5417,5000.47,4991.37,1.0824,1.0824
02/24/2020 08:28:10.175,5418,4998.61,4988.21,1.08271,1.08271
02/24/2020 08:33:19.696,5419,5001.09,4990.69,1.0824,1.0824
02/24/2020 08:38:15.986,5420,5000,5000.00,1.08209,1.08209
02/24/2020 08:42:36.445,5421,4999.69,4998.39,1.0824,1.0824
02/24/2020 08:48:49.808,5422,5000.31,4997.71,1.08209,1.08209
02/24/2020 08:50:42.890,5423,5000.61,4996.71,1.08177,1.08178
02/24/2020 08:51:56.314,5424,5001.25,4998.65,1.0821,1.0821
02/24/2020 08:55:57.792,5425,5000,5000.00,1.08241,1.08241
02/24/2020 08:57:43.462,5426,4999.69,4998.39,1.08272,1.08272
02/24/2020 09:01:09.067,5427,4999.07,4996.47,1.08303,1.08303
02/24/2020 09:02:12.031,5428,4998.14,4994.24,1.08334,1.08334
02/24/2020 09:02:47.909,5429,4996.90,4993.00,1.08365,1.08365
02/24/2020 09:03:55.490,5430,4996.90,4993.00,1.08396,1.08396
02/24/2020 09:06:13.912,5431,4999.38,4994.18,1.08364,1.08365
02/24/2020 09:09:51.581,5432,5000.36,4993.86,1.08332,1.08332
02/24/2020 09:15:17.643,5433,4999.74,4997.14,1.08301,1.08301
02/24/2020 09:20:11.701,5434,4998.78,4994.88,1.08269,1.0827
02/24/2020 09:22:23.255,5435,4997.48,4993.58,1.08237,1.08237
02/24/2020 09:23:02.282,5436,4997.52,4993.62,1.08206,1.08204
02/24/2020 09:30:55.002,5437,5000.06,4994.86,1.08238,1.08239
02/24/2020 09:47:02.783,5438,4999.09,4992.59,1.08206,1.08206
02/24/2020 09:49:07.618,5439,4997.44,4992.24,1.08173,1.08175
02/24/2020 09:54:14.372,5440,4997.08,4991.88,1.08141,1.0814
02/24/2020 09:56:21.000,5441,4999.92,4993.42,1.08172,1.08173
02/24/2020 10:07:38.402,5442,5001.23,4993.43,1.08205,1.08205
02/24/2020 10:10:35.567,5443,5000,5000.00,1.08236,1.08236
02/24/2020 10:17:22.292,5444,5000.31,4999.01,1.08205,1.08205
02/24/2020 10:25:21.363,5445,5000.31,4997.71,1.08174,1.08174
02/24/2020 10:29:55.644,5446,4999.69,4997.09,1.08143,1.08143
02/24/2020 10:36:28.947,5447,5000.62,4996.72,1.08174,1.08174
02/24/2020 10:44:54.668,5448,5000.00,4994.80,1.08143,1.08143
02/24/2020 10:48:33.729,5449,5001.24,4996.04,1.08174,1.08174
02/24/2020 11:06:33.228,5450,5000,5000.00,1.08142,1.08143
02/24/2020 11:10:19.143,5451,4999.66,4998.36,1.08175,1.08175
02/24/2020 11:11:17.960,5452,4999.04,4996.44,1.08206,1.08206
02/24/2020 11:31:20.908,5453,4998.11,4994.21,1.08237,1.08237
02/24/2020 11:46:14.016,5454,4999.35,4994.15,1.08206,1.08206
02/24/2020 11:56:05.460,5455,4998.42,4991.92,1.08237,1.08237
02/24/2020 11:59:04.883,5456,4999.97,4993.47,1.08206,1.08206
02/24/2020 12:01:26.773,5457,5001.21,4993.41,1.08175,1.08175
02/24/2020 12:07:13.526,5458,5000,5000.00,1.08206,1.08206
02/24/2020 12:19:21.082,5459,4999.69,4998.39,1.08237,1.08237
02/24/2020 12:27:03.524,5460,4999.07,4996.47,1.08275,1.08268
02/24/2020 12:33:18.746,5461,5000.18,4996.28,1.0823,1.08231
02/24/2020 12:47:33.748,5462,5000.83,4995.63,1.08198,1.08198
02/24/2020 12:51:52.009,5463,5001.45,4998.85,1.08229,1.0823
02/24/2020 12:55:31.125,5464,5000,5000.00,1.08196,1.08197
02/24/2020 12:57:45.783,5465,5000.35,4999.05,1.08165,1.0816
02/24/2020 13:00:25.251,5466,5000.29,4997.69,1.082,1.08201
02/24/2020 13:11:36.288,5467,5000.62,4996.72,1.08169,1.08168
02/24/2020 13:17:52.695,5468,5000.27,4996.37,1.082,1.08201
02/24/2020 13:41:39.359,5469,5000.92,4995.72,1.08168,1.08168
02/24/2020 13:58:22.183,5470,5001.60,4996.40,1.08137,1.08135
02/24/2020 14:03:29.098,5471,5000,5000.00,1.08168,1.0817
02/24/2020 14:06:53.502,5472,4999.62,4998.32,1.08203,1.08204
02/24/2020 14:10:32.167,5473,4998.94,4996.34,1.08236,1.08237
02/24/2020 14:17:10.557,5474,4997.93,4995.33,1.08269,1.0827
02/24/2020 14:18:29.550,5475,4999.92,4996.02,1.08235,1.08237
02/24/2020 14:20:07.155,5476,4999.27,4994.07,1.0827,1.08269
02/24/2020 14:23:53.415,5477,4997.95,4992.75,1.08301,1.08302
02/24/2020 14:26:07.091,5478,4996.38,4991.18,1.08337,1.08333
02/24/2020 14:26:43.007,5479,4995.73,4993.13,1.08373,1.08372
02/24/2020 14:27:42.276,5480,5000.07,4996.17,1.0834,1.08341
02/24/2020 14:31:09.076,5481,5000.73,4995.53,1.08309,1.08308
02/24/2020 14:32:58.874,5482,5000.07,4997.47,1.08276,1.08275
02/24/2020 14:34:26.458,5483,5001.06,4997.16,1.08309,1.08309
03/01/2020 23:00:13.768,5484,5000,5000.00,1.1058,1.10586
03/01/2020 23:00:32.752,5485,5000.31,4999.01,1.10529,1.10543
03/01/2020 23:01:49.397,5486,5000.15,4997.55,1.10588,1.1059
03/01/2020 23:08:31.130,5487,4999.80,4995.90,1.10623,1.10623
03/01/2020 23:09:38.938,5488,4998.78,4994.88,1.10655,1.10657
03/01/2020 23:10:31.032,5489,4997.38,4994.78,1.1069,1.10691
03/01/2020 23:12:35.652,5490,5000.49,4996.59,1.10657,1.10658
03/01/2020 23:13:33.031,5491,4999.81,4994.61,1.1069,1.10691
03/01/2020 23:14:15.659,5492,4998.43,4994.53,1.10723,1.10725
03/01/2020 23:15:10.093,5493,5000.81,4995.61,1.1069,1.1069
03/01/2020 23:18:16.460,5494,4999.84,4993.34,1.10721,1.10722
03/01/2020 23:19:20.301,5495,5001.47,4994.97,1.10688,1.10689
03/01/2020 23:21:25.317,5496,5000,5000.00,1.10722,1.1072
03/01/2020 23:25:17.219,5497,5000.31,4999.01,1.10687,1.10689
03/01/2020 23:26:06.516,5498,5000.27,4997.67,1.10652,1.10654
03/01/2020 23:27:59.373,5499,4999.57,4996.97,1.10619,1.10619
03/01/2020 23:33:25.648,5500,4998.58,4995.98,1.10586,1.10588
03/01/2020 23:39:55.111,5501,4998.55,4995.95,1.10552,1.10553
03/01/2020 23:45:03.219,5502,4998.53,4995.93,1.10518,1.1052
03/01/2020 23:47:16.065,5503,4998.45,4995.85,1.10483,1.10485
03/01/2020 23:49:34.251,5504,5000.51,4996.61,1.10518,1.1052
03/02/2020 00:02:57.460,5505,4999.80,4994.60,1.10484,1.10485
03/02/2020 00:03:28.646,5506,4998.50,4994.60,1.10452,1.10452
03/02/2020 00:06:08.904,5507,4998.27,4994.37,1.10421,1.10421
03/02/2020 00:09:38.451,5508,4998.02,4992.82,1.1039,1.1039
03/02/2020 00:14:48.138,5509,4999.57,4993.07,1.10421,1.10422
03/02/2020 00:34:36.602,5510,5000.88,4993.08,1.10454,1.10454
03/02/2020 00:39:20.965,5511,5000.26,4997.66,1.10485,1.10485
03/02/2020 00:43:56.374,5512,4999.24,4995.34,1.1052,1.10519
03/02/2020 00:44:10.826,5513,4997.92,4994.02,1.10551,1.10552
03/02/2020 00:52:27.738,5514,4997.89,4993.99,1.10584,1.10585
03/02/2020 00:54:55.443,5515,4997.82,4993.92,1.10618,1.10619
03/02/2020 01:04:48.237,5516,5000.46,4995.26,1.10586,1.10586
03/02/2020 01:13:34.735,5517,4999.45,4992.95,1.10617,1.10619
03/02/2020 01:20:59.436,5518,5001.16,4994.66,1.10585,1.10584
03/02/2020 01:23:12.760,5519,5000,5000.00,1.10616,1.10618
03/02/2020 01:31:30.177,5520,5000.31,4999.01,1.10581,1.10583
03/02/2020 01:52:55.296,5521,5000.28,4997.68,1.10547,1.10548
03/02/2020 01:58:20.870,5522,5000.92,4998.32,1.1058,1.10581
03/02/2020 02:04:21.036,5523,5001.24,4997.34,1.10613,1.10613
03/02/2020 02:14:07.902,5524,5000,5000.00,1.10581,1.10582
03/02/2020 02:33:23.474,5525,4999.64,4998.34,1.10614,1.10616
03/02/2020 02:53:59.416,5526,5000.30,4997.70,1.10579,1.10581
03/02/2020 03:12:29.756,5527,5000.63,4996.73,1.10546,1.10546
03/02/2020 03:23:21.848,5528,5001.25,4998.65,1.10577,1.10577
03/02/2020 03:30:16.302,5529,5000,5000.00,1.10609,1.10608
03/02/2020 03:35:15.260,5530,5000.31,4999.01,1.10576,1.10577
03/02/2020 03:48:43.135,5531,5000.28,4997.68,1.10542,1.10544
